Province,Province Name En,Province Name Ne,District Id,District Code,District Name En,District Name Ne,GAPA Id,GAPA Code,GaPa Name En,GaPa Name Ne,Total Wards
1,Province No. 1,प्रदेश १,1,101,Taplejung,ताप्लेजुङ,1,10101,Phaktanlung Gaunpalika,फक्ताङ्लुङ्ग गाउँपालिका,7
1,Province No. 1,प्रदेश १,1,101,Taplejung,ताप्लेजुङ,2,10102,Mikwakhola Gaunpalika,मिक्वाखोला गाउँपालिका,5
1,Province No. 1,प्रदेश १,1,101,Taplejung,ताप्लेजुङ,3,10103,Meringden Gaunpalika,मेरिङ्गदेन गाउँपालिका,6
1,Province No. 1,प्रदेश १,1,101,Taplejung,ताप्लेजुङ,4,10104,Maiwakhola Gaunpalika,मैवाखोला गाउँपालिका,6
1,Province No. 1,प्रदेश १,1,101,Taplejung,ताप्लेजुङ,5,10105,Aatharai Tribeni Gaunpalika,आठराई त्रिवेणी गाउँपालिका,5
1,Province No. 1,प्रदेश १,1,101,Taplejung,ताप्लेजुङ,6,10106,Phungling Municipality,फुङलिङ्ग नगरपालिका,11
1,Province No. 1,प्रदेश १,1,101,Taplejung,ताप्लेजुङ,7,10107,Pathivara Yangwarak Gaunpalika,पाथीभरा याङवरक गाउँपालिका,6
1,Province No. 1,प्रदेश १,1,101,Taplejung,ताप्लेजुङ,8,10108,Sirijanga Gaunpalika,सिरीजङ्गा गाउंपालिका,8
1,Province No. 1,प्रदेश १,1,101,Taplejung,ताप्लेजुङ,9,10109,Sidingba Gaunpalika,सिदिङ्गवा गाउँपालिका,7
1,Province No. 1,प्रदेश १,2,102,Sankhuwasabha,संखुवासभा,1,10201,Bhotkhola Gaunpalika,भोटखोला गाउँपालिका,5
1,Province No. 1,प्रदेश १,2,102,Sankhuwasabha,संखुवासभा,2,10202,Makalu Gaunpalika,मकालु गाउँपालिका,6
1,Province No. 1,प्रदेश १,2,102,Sankhuwasabha,संखुवासभा,3,10203,Silichong Gaunpalika,सिलीचोङ गाउँपालिका,5
1,Province No. 1,प्रदेश १,2,102,Sankhuwasabha,संखुवासभा,4,10204,Chichila Gaunpalika,चिचिला गाउँपालिका,5
1,Province No. 1,प्रदेश १,2,102,Sankhuwasabha,संखुवासभा,5,10205,Sabhapokhari Gaunpalika,सभापोखरी गाउँपालिका,6
1,Province No. 1,प्रदेश १,2,102,Sankhuwasabha,संखुवासभा,6,10206,Khandabari Municipality,खाँदबारी नगरपालिका,11
1,Province No. 1,प्रदेश १,2,102,Sankhuwasabha,संखुवासभा,7,10207,Panchakhapan Municipality,पाँचखपन नगरपालिका,9
1,Province No. 1,प्रदेश १,2,102,Sankhuwasabha,संखुवासभा,8,10208,Chainapur Municipality,चैनपुर नगरपालिका,11
1,Province No. 1,प्रदेश १,2,102,Sankhuwasabha,संखुवासभा,9,10209,Madi Municipality,मादी नगरपालिका,9
1,Province No. 1,प्रदेश १,2,102,Sankhuwasabha,संखुवासभा,10,10210,Dharmadevi Municipality,धर्मदेवी नगरपालिका,9
1,Province No. 1,प्रदेश १,3,103,Solukhumbu,सोलुखुम्बु,1,10301,Khumbu Pasanglhamu Gaunpalika,खुम्बु पासाङल्हामु गाउँपालिका,5
1,Province No. 1,प्रदेश १,3,103,Solukhumbu,सोलुखुम्बु,2,10302,Mahakulung Gaunpalika,माहाकुलुङ गाउँपालिका,5
1,Province No. 1,प्रदेश १,3,103,Solukhumbu,सोलुखुम्बु,3,10303,Sotang Gaunpalika,सोताङ गाउँपालिका,5
1,Province No. 1,प्रदेश १,3,103,Solukhumbu,सोलुखुम्बु,4,10304,Mapya Dudhkoshi Gaunpalika,माप्य दुधकोशी गाउँपालिका,7
1,Province No. 1,प्रदेश १,3,103,Solukhumbu,सोलुखुम्बु,5,10305,Thulung Dudhkoshi Gaunpalika,थुलुङ दुधकोशी गाउँपालिका,9
1,Province No. 1,प्रदेश १,3,103,Solukhumbu,सोलुखुम्बु,6,10306,Necha Salyan Gaunpalika,नेचासल्यान गाउँपालिका,5
1,Province No. 1,प्रदेश १,3,103,Solukhumbu,सोलुखुम्बु,7,10307,Solu Dhudhakunda Municipality,सोलुदुधकुण्ड नगरपालिका,11
1,Province No. 1,प्रदेश १,3,103,Solukhumbu,सोलुखुम्बु,8,10308,Likhu Pike Gaunpalika,लिखु पिके गाउँपालिका,5
1,Province No. 1,प्रदेश १,4,104,Okhaldhunga,ओखलढुङ्गा,1,10401,Chishankhu Gadhi Gaunpalika,चिशंखुगढी गाउँपालिका,8
1,Province No. 1,प्रदेश १,4,104,Okhaldhunga,ओखलढुङ्गा,2,10402,Siddhicharan Municipality,सिद्धिचरण नगरपालिका,12
1,Province No. 1,प्रदेश १,4,104,Okhaldhunga,ओखलढुङ्गा,3,10403,Molung Gaunpalika,मोलुङ्ग गाउँपालिका,8
1,Province No. 1,प्रदेश १,4,104,Okhaldhunga,ओखलढुङ्गा,4,10404,Khiji Demba Gaunpalika,खिजीदेम्बा गाउँपालिका,9
1,Province No. 1,प्रदेश १,4,104,Okhaldhunga,ओखलढुङ्गा,5,10405,Likhu Gaunpalika,लिखु गाउँपालिका ,9
1,Province No. 1,प्रदेश १,4,104,Okhaldhunga,ओखलढुङ्गा,6,10406,Champadevi Gaunpalika,चम्पादेवी गाउँपालिका,10
1,Province No. 1,प्रदेश १,4,104,Okhaldhunga,ओखलढुङ्गा,7,10407,Sunkoshi Gaunpalika,सुनकोशी गाउँपालिका ,10
1,Province No. 1,प्रदेश १,4,104,Okhaldhunga,ओखलढुङ्गा,8,10408,Manebhanjyang Gaunpalika,मानेभन्ज्याङ्ग गाउँपालिका,9
1,Province No. 1,प्रदेश १,5,105,Khotang,खोटाङ,1,10501,Kepilasgadhi Gaunpalika,केपिलासगढी गाउँपालिका,7
1,Province No. 1,प्रदेश १,5,105,Khotang,खोटाङ,2,10502,Aiselukharka Gaunpalika,ऐसेलुखर्क गाउँपालिका,7
1,Province No. 1,प्रदेश १,5,105,Khotang,खोटाङ,3,10503,Rawa Besi Gaunpalika,रावा बेसी गाउँपालिका,6
1,Province No. 1,प्रदेश १,5,105,Khotang,खोटाङ,4,10504,Halesi Tuwachung Municipality,हलेसी तुवाचुङ नगरपालिका,11
